PuzzleId,SF_Material,SF_Positional,SF_Final_Eval
BOZMu,0.19,-0.04,-0.15
NJPc0,-0.2,0.3,-0.14
JexXB,-0.14,0.24,-0.13
fRMSC,-0.04,-0.79,0.86
tbU9j,0.19,1.73,2.21
VOEzq,,,
rWs2K,3.0,-0.67,2.53
BjlYH,0.8,0.64,1.64
DIuLL,1.03,0.65,1.97
FRixI,-0.25,-0.16,-0.42
1sDAn,,,
zITbd,-0.38,0.79,0.51
gdnmd,0.11,-0.16,-0.08
9JFyT,0.96,1.18,-2.66
xobSg,-0.4,-0.15,-0.65
QkhXm,-0.06,-1.93,2.45
KLRUr,0.55,-0.62,0.11
qcgaa,1.28,-1.05,-0.21
QzxE0,-2.3,1.82,-0.41
reN6z,-1.6,-0.29,2.17
WKOIx,1.53,0.39,-2.25
xMbXd,0.32,0.06,0.39
mWopL,0.57,0.05,-0.65
JA1aN,0.23,0.84,1.31
jOVYL,1.07,1.15,-2.7
xDqzb,0.32,0.09,-0.51
IT4Vb,0.68,1.47,2.56
TxLMW,1.42,1.38,3.36
JKG5V,,,
G3V3s,-0.09,-0.47,0.71
NxZ4K,2.35,1.1,4.05
mTz3R,,,
LfNVk,,,
y1K7k,,,
jWt8e,0.26,0.09,0.4
UY6CM,1.68,1.23,-3.26
6RLCO,,,
gaAjB,0.44,1.22,1.88
Y5JiA,-0.65,0.66,0.04
LQtfe,0.7,0.46,1.42
McB0U,-0.45,0.21,-0.22
k4Mju,0.08,0.57,0.79
V7BpN,,,
KnHIc,0.58,-0.55,0.0
IddED,0.35,1.36,-1.83
KrMPn,,,
XvGzm,0.02,0.76,-0.98
HAY1o,1.28,0.92,-2.68
Y5J17,-2.29,0.03,-2.45
g0JnH,0.38,0.29,-0.86
Cpqt2,,,
yBd42,0.34,-0.63,-0.36
mYJTZ,-0.4,-0.69,-1.26
0zujO,-0.02,0.06,-0.05
BYUrd,0.88,-0.05,-0.86
3Hkqm,3.06,1.34,3.93
MJCqa,1.21,1.81,-3.35
CbmNB,-1.52,1.54,0.09
afa7O,0.12,0.65,-1.0
vtssp,,,
jF52v,0.0,1.34,1.63
4NyCJ,0.13,-0.61,-0.6
WAg5t,-0.02,0.03,0.01
eMhc7,-0.55,0.38,0.15
c4tbG,5.13,-3.73,1.16
y2tDF,0.36,0.43,-0.92
TT8o1,0.43,-0.75,0.44
vlU4l,0.17,0.29,0.59
CURfz,0.65,0.36,1.17
OibbX,-0.14,-1.17,1.58
vu8MR,0.08,0.59,-0.83
VDTom,0.56,0.48,1.33
w9LCB,-1.44,2.46,1.2
HcY76,1.21,0.75,-2.25
EN9HP,0.19,-0.14,-0.04
xTfKw,1.63,-2.59,-1.21
s6s35,0.98,0.27,1.37
p4uDc,1.11,-0.1,-1.03
SlwU0,0.83,0.16,-1.18
KNOxi,-0.18,0.52,0.43
2U7DR,0.57,-0.06,0.52
CzAFm,1.49,0.28,2.08
xFmTL,0.92,-0.17,0.76
xAlTb,-0.41,0.83,-0.54
l9f1Y,-0.25,1.08,-1.04
Hbsz3,0.29,-2.3,-2.47
zroIG,1.07,1.41,-2.57
ZNUBx,1.56,1.09,3.13
YRgVq,-0.38,-0.79,-1.29
Wqpwv,2.11,0.54,2.68
yCCrU,0.86,0.79,1.78
xxsZk,-0.06,-1.02,1.35
zSRNT,0.22,0.82,1.27
B1Dau,,,
RBQ0w,0.28,-0.36,0.1
1l8Za,0.45,0.25,-0.81
RNCoe,-0.34,0.02,-0.38
1dH3j,0.05,-0.24,0.21
pRfjk,0.66,0.61,1.52
PXVIu,-0.2,0.44,-0.28
JlkXa,1.03,1.3,2.85
EsfHY,-0.44,0.26,0.21
rthx1,-4.68,3.29,1.31
8j2J8,0.82,-1.64,1.03
zDB18,0.06,1.83,-2.03
kRIyJ,,,
3fgD5,1.19,-0.13,-1.29
0piiZ,1.02,-0.25,-0.85
YNj9I,-0.04,-0.77,1.0
YyN1E,,,
b4Cpl,-0.42,-0.82,1.62
AMlAe,0.9,0.45,-1.49
n8KcC,-2.66,1.81,-0.83
IxRww,-0.12,0.68,-0.7
vRNNi,-0.61,0.21,-0.43
ep5VI,0.23,0.69,-0.96
HbdjL,,,
AtTAu,1.58,1.9,-4.08
MgcKN,0.21,-0.16,0.04
ifIU3,-0.4,-1.55,-2.41
6QvwS,0.17,-0.2,-0.04
fBvol,1.15,-0.52,0.71
GoNyT,0.16,-0.37,0.29
gXArT,0.26,-1.15,-1.06
uiIQA,1.59,3.55,5.1
f0CL3,2.52,-2.37,0.04
1CNBK,0.52,-1.33,0.99
1jwHB,,,
IoadV,0.3,0.24,-0.68
AFQMX,-0.1,0.27,-0.23
f8K1q,0.32,-0.35,-0.05
5w6hn,-1.35,-0.6,2.11
JHxEN,-0.21,0.89,-0.71
5ODeG,-0.34,0.2,0.14
XDsWc,1.17,2.24,-3.76
nM8WP,0.23,-0.14,-0.1
G0mBJ,1.29,0.15,-1.61
ehkxO,0.05,-2.19,2.57
D48kA,1.51,1.7,-3.8
YWHF6,0.35,-0.55,0.24
Qf4ro,-0.11,0.05,-0.06
FrU0e,-0.17,0.09,0.09
oUfg9,0.38,0.68,1.29
aBxIg,0.11,-0.02,-0.09
2IyC7,0.43,-0.05,0.4
5wf96,0.74,0.7,1.76
Rdxkg,-0.27,1.36,-1.34
JCpmZ,0.77,-0.72,0.02
6Rqmd,-0.23,-0.09,0.39
MgPSr,-0.01,-0.19,-0.23
oy8QJ,0.49,0.32,-0.98
pp8XW,,,
9fQ01,0.8,1.04,-2.13
IOvIR,3.12,-3.08,0.1
Idfop,1.39,2.28,-4.15
CxA8f,1.25,-2.55,1.47
nwp0i,2.66,0.44,3.56
Jv6kA,1.08,-1.91,-1.02
zV1VG,1.05,0.1,-1.41
PViJI,0.21,0.08,0.34
GvXvR,2.95,-0.02,-2.89
t2h4v,-0.23,-0.29,0.67
KcJSV,0.2,-0.27,-0.1
qT0Zu,1.29,0.79,2.3
TQiht,,,
SuWpD,1.53,1.08,-3.05
Q6J2K,,,
s9AXZ,-0.52,0.06,0.57
XdsNl,2.45,1.3,-4.32
g70Vg,0.69,-1.13,-0.58
CuFXd,-0.28,-0.39,0.71
ufsSo,3.71,2.05,-5.11
37NHR,0.97,0.94,-2.42
zhRI7,-0.17,0.36,0.19
67xNg,-0.36,1.43,1.3
0tAeM,1.36,0.07,1.58
nsYix,,,
P9Lmg,-0.14,0.13,-0.01
O8tqf,,,
yZt3t,-0.14,-0.75,-1.01
mDbKh,,,
Kvgew,2.1,1.53,4.37
w8jQ4,-0.27,1.1,1.08
IzOrw,-0.34,0.22,0.13
Bck6L,0.41,-0.63,0.3
NE5WQ,0.35,1.53,-2.26
A0MRb,-0.45,0.29,0.15
3FWhP,-0.53,-0.14,-0.82
1HQ60,0.7,1.24,-2.35
MkgyD,,,
Fy3fV,-1.46,2.91,-1.77
fXtez,-0.5,-0.53,1.07
JtmNJ,,,
54iky,-0.23,1.35,-1.48
ab0WE,0.86,0.57,1.69
B0LiG,2.13,-3.34,-1.48
YYNHK,0.38,-0.6,0.28
4HAlx,0.5,-0.86,0.48
bTKwa,0.79,0.92,1.84
co2kf,,,
rsO8K,0.35,1.06,1.79
LRzJE,0.21,0.67,1.05
8CBoJ,0.06,-0.89,-0.95
MztfS,0.94,0.58,-1.81
nkHkF,2.56,-1.09,-1.56
trnIP,0.4,0.14,-0.58
nr6oi,0.32,0.44,0.95
NIblq,-0.1,0.14,0.05
HvZbF,-0.22,0.06,-0.19
sj3Fs,0.3,-0.27,0.02
1iGzg,0.15,-0.96,0.87
SD4r9,-0.24,0.41,-0.22
OOu6p,0.92,0.28,-1.43
wkoDH,0.58,-0.86,-0.35
LPIpl,0.23,0.5,-0.91
cfink,0.77,0.89,-2.06
CkFX6,2.17,-0.19,-1.66
eFfm4,0.56,-0.35,0.24
gBgXA,-0.24,-0.83,-1.1
pzaAO,0.45,1.33,-2.06
yP8rB,0.51,0.22,0.9
glJCT,-0.49,0.69,-0.28
IQjyh,0.35,2.41,-3.08
w2eKM,,,
ggTCt,0.96,-0.19,-0.8
pnc4X,0.69,2.02,3.32
c8p3y,0.86,-0.18,-0.8
qyIXS,-0.85,-0.91,2.11
LlcCb,-0.25,0.15,0.11
t2zmK,,,
kouaW,1.07,-1.04,-0.02
SHx7S,0.93,0.26,1.42
0h9qi,1.43,0.23,1.86
HkiLx,-0.09,-0.28,0.45
J5hN2,-3.32,1.65,-1.6
rJZfw,,,
pP4rW,-0.22,-0.59,0.96
FgjTG,0.12,0.12,-0.26
t9lz2,-0.19,0.0,-0.19
S6o8S,0.07,0.46,0.63
gsqtb,0.05,-0.08,-0.03
zcJjo,,,
nWotV,-0.22,-0.23,-0.5
WMBH1,0.55,-0.63,0.12
hIfA6,0.0,-0.09,0.11
r03Lj,-0.48,0.33,0.15
y8paX,,,
ULWxY,0.03,1.04,1.39
hDF88,1.11,2.44,4.01
FCnxM,0.12,0.51,0.8
SpVQD,0.92,-1.22,-0.41
sG6Rj,1.28,-1.16,0.06
RJBrH,0.91,0.18,-1.24
bQpCz,-0.03,0.07,-0.04
8Vd68,0.12,1.44,1.82
73Kyu,0.36,-0.44,-0.11
3ryZ0,-1.52,2.19,-0.89
PsQt8,0.03,-0.21,0.24
DlFwh,1.44,-3.1,-1.9
QttAu,1.21,0.75,2.34
tOIXg,1.1,0.21,-1.45
ufOYp,2.63,-0.72,1.57
bvz39,-2.34,2.08,-0.18
oxFZa,-0.32,0.09,-0.23
qMe3j,,,
Dr686,-0.47,0.36,-0.09
pOIOB,0.38,-1.17,0.98
6JYnR,-0.22,-0.18,0.41
HX02R,-0.96,-0.27,-1.41
xmrot,1.92,-1.67,-0.18
QEV5F,3.02,-0.31,-2.93
B69zy,-0.51,0.47,0.01
jsoDF,0.31,-0.22,-0.09
K8BbT,,,
E2Hqp,1.56,1.3,-3.44
noCIA,0.14,0.81,1.19
M2pqy,-0.88,-0.79,-2.04
07lw1,0.4,0.21,-0.71
azxoD,1.05,0.4,1.74
KfIJX,0.31,0.44,-0.95
O3CQD,0.14,-0.29,0.2
js1Uo,,,
LR5ty,0.3,0.11,-0.49
S09BM,0.21,0.53,0.94
lkW3y,0.93,1.73,-3.2
W9qi5,0.03,-0.05,0.02
H7mAe,,,
v7Y5M,0.16,0.38,-0.62
h7p6P,,,
O304K,2.84,-0.98,2.0
7RXzz,2.05,0.4,-2.81
6CLP4,-0.06,0.1,0.05
7G8fc,0.12,-0.82,0.78
IP1k4,,,
4JhjA,1.65,1.43,3.78
dCOsz,-0.12,0.04,0.08
PaqrZ,-0.0,-0.36,-0.41
ygLbP,0.91,0.66,-1.66
FAg07,,,
zOOaA,-0.51,-0.55,1.17
3jhLA,,,
Qpd7u,-1.25,-0.3,1.74
SF3gJ,-0.3,-0.18,0.57
ZU3S4,1.51,-2.04,0.64
g0p7Z,-0.19,1.78,2.04
gttt3,0.76,0.83,1.96
ia7j0,-0.05,-0.2,-0.26
ot4WR,,,
KB5PM,1.1,0.37,1.72
Qh8S8,-0.66,1.64,1.27
DN6Zo,,,
4j9Jr,0.38,2.16,-3.08
SZDhb,0.15,-0.33,-0.23
rFYYG,4.74,0.01,-4.9
xtaPX,1.02,-1.97,1.23
XVS33,1.95,0.22,-2.3
7LPKN,,,
RVbm6,0.2,-0.13,-0.07
Pkc7T,,,
tEmY1,,,
kZLPm,0.0,0.22,0.23
dr37f,0.13,0.56,-0.78
wRIX6,2.07,-0.04,2.25
J8uwM,0.02,0.15,-0.19
dguIH,0.91,1.29,-2.73
M5BnK,,,
0G7ZG,0.59,0.94,-1.92
ey3Ym,3.58,-0.86,1.3
lq3zZ,-0.0,0.05,0.05
WRjPX,-1.62,1.2,0.41
ZeUKu,0.08,0.24,0.38
2orYU,2.59,-1.81,0.78
jyYmp,3.1,1.22,3.25
d29C2,0.61,1.25,-1.94
Qv7lZ,0.01,0.57,-0.68
8LVIi,-0.05,0.58,-0.68
fqD41,1.96,-0.11,2.12
BLHea,0.14,-0.06,-0.1
gv2b0,1.71,-0.01,-1.85
c0XDk,0.41,-0.9,-0.62
gX7qv,0.72,0.02,0.81
QyxHE,-1.48,-0.58,2.47
0ZVKi,-0.7,-1.67,-2.97
FPEIG,0.91,-0.83,-0.04
VPYL2,-0.13,0.54,0.53
9RRHk,0.56,-0.97,0.47
W2cLK,0.02,1.24,1.53
mUsLf,,,
rvsVh,,,
XWSSL,-0.09,0.77,0.9
tD5DS,4.55,-1.84,-1.67
fRVY0,0.26,0.43,0.88
SvC1C,2.0,0.85,3.2
LjsqO,-0.15,0.26,0.15
MyqtV,-0.36,0.99,0.76
RWUKM,0.61,0.49,-1.32
xmqx1,0.22,-0.28,-0.06
UE1IU,-0.08,-0.95,1.03
VVum6,-0.1,-0.11,0.25
vWqOp,0.01,-0.05,0.05
j2ihy,1.21,-0.59,0.6
Jjoqn,-0.64,0.76,-0.16
bFf3b,,,
AGbkb,,,
rVhHq,0.06,0.18,-0.26
OR3fM,0.39,0.54,-1.18
UnJey,-0.04,0.67,-0.76
aHxNV,1.0,0.35,-1.55
wZyUR,3.75,-0.6,-2.47
wDKb4,-0.09,-0.78,0.94
2aLTC,0.72,1.43,2.65
6U1go,2.85,0.99,-2.75
0W056,0.23,0.14,-0.43
hn6Dp,-1.35,1.1,-0.23
FH7V4,,,
YTFg9,0.3,0.72,1.26
pd1Sk,0.15,0.81,1.2
OLvEV,0.5,1.3,2.29
KiSDU,-0.83,0.2,-0.72
2So0H,,,
QdrSb,-0.55,-0.45,1.24
SWDSs,0.02,0.62,0.73
D2QMv,,,
B8o09,,,
JReOu,1.87,-1.69,-0.11
cEAd7,1.21,-1.17,-0.02
9W2yI,1.6,1.52,-3.79
tAHch,0.87,3.41,-4.24
aNMkd,,,
TC9SV,0.53,0.26,0.96
xzAuG,-0.31,1.41,-1.31
qlLlc,-0.52,0.0,-0.63
ouVRW,0.41,-1.82,1.69
h2GUW,0.91,-1.0,0.15
xUqMg,0.94,0.7,-1.78
7Wz0B,0.34,-0.87,0.65
Dvl6M,-0.01,-0.5,-0.55
3ho2O,0.14,0.77,1.18
VNSPH,,,
ll7wS,,,
qGLlk,0.49,0.24,0.81
pIG7B,-0.03,0.03,0.0
mtMiq,,,
QEkhr,-0.01,1.15,1.41
WlPKf,-0.58,0.65,0.12
OR2kp,0.85,1.38,2.41
p35eS,-0.83,-0.09,-1.1
95W5z,-0.49,-0.95,1.8
qJR58,0.2,-0.06,0.13
aLdI4,1.52,2.03,4.03
nh2AB,1.33,-3.2,-2.3
iYBEC,1.41,-1.08,0.31
HHBMQ,,,
lUb8T,-0.03,-0.88,1.16
QLQF1,0.25,0.13,0.46
yvVaV,,,
e4qxn,1.14,-0.06,-1.26
C6vDw,-0.04,0.72,0.87
KR2H1,2.75,-2.81,-0.21
fHvRT,,,
dXJjs,0.6,-0.29,-0.35
B2scu,0.35,-1.12,0.92
XdBPL,0.14,-0.21,0.07
hXub6,-0.04,-1.35,1.52
3XYFx,1.8,1.04,3.05
O4y22,,,
plqwW,-0.13,0.13,0.01
q8Z91,,,
GGIyu,1.05,2.72,4.32
7mV0u,,,
Ycdg5,1.22,-0.04,1.25
mKgzH,4.46,-1.53,-1.94
UNkl1,-0.27,-0.52,-1.04
f5Z9P,2.46,-0.19,-2.61
jYjWh,1.84,0.5,2.48
7fDju,0.95,2.03,3.21
gcQAw,0.33,1.76,2.6
UhDiP,-0.08,-0.03,0.12
rV1rP,0.58,0.45,-1.26
Sgj0Z,0.37,0.41,-0.99
GNhMm,,,
hccEO,,,
aswrX,-0.35,-0.12,0.49
OiI9Y,0.07,-0.16,-0.13
Yzsdp,0.01,-0.12,-0.15
E4kQF,,,
z2xu2,-0.13,0.21,0.11
My7N5,2.17,2.06,4.6
kggTn,-4.03,-0.11,4.64
EsYPy,,,
9d8ye,-0.02,0.46,0.55
sRZOt,-0.21,0.15,0.06
TCYLU,0.65,0.17,-0.99
7hs3R,3.17,-0.32,3.04
qEEeV,0.05,0.43,-0.57
j75Ew,-0.29,0.17,0.11
faQSN,-0.57,0.55,0.0
l6c5R,,,
hTw6B,0.57,-1.16,-0.79
zBR0L,,,
KHzFh,0.93,-0.92,-0.03
QE7ru,0.32,-0.25,0.07
BtXDh,6.09,-0.56,4.77
tOkX4,,,
gKfXy,0.89,-0.01,-0.95
0HK7s,-0.03,0.01,0.02
xVX8Z,0.65,-0.24,0.41
b0qT1,-1.11,-0.7,-2.24
C6tQe,0.58,0.23,0.83
eSMlg,1.52,0.19,-1.83
fDxrv,0.19,-0.68,-0.56
rVOeN,,,
uSScG,0.16,0.82,1.27
E5pqu,-0.26,0.8,0.7
a2bUp,,,
7ntsB,1.42,1.53,3.47
yX4BN,-0.08,1.13,1.22
yIax4,-0.49,-0.4,-1.13
d7hgu,0.89,0.22,1.3
WLYAD,,,
Osd6D,0.62,-0.3,-0.36
8dID1,-0.39,0.47,-0.12
N9fiE,2.12,-0.31,2.07
yfwJ0,-1.73,-1.38,3.65
HqDsS,1.41,0.35,-2.17
8nkiJ,1.83,-0.79,1.13
WhMXV,2.13,0.28,2.68
kAGoQ,-0.25,-0.01,0.32
Z4QvL,-0.15,-0.91,1.31
TT4e3,0.73,-1.02,0.37
o4xFJ,1.33,-1.83,0.61
qwfm1,-0.13,0.0,-0.13
cfEXs,-0.17,-0.2,-0.42
52hb5,-1.44,-0.75,-2.52
ZgL7D,-0.12,0.37,-0.32
XNq7P,-0.33,0.31,0.01
G3gll,,,
TfAkv,-0.31,-0.48,1.02
clAv0,-0.05,-0.99,-1.07
ZudAe,0.88,-1.36,0.53
EVjky,1.09,-2.24,1.37
xI5iO,0.98,0.62,-1.83
M4xmz,0.35,-1.31,1.15
58xC2,1.46,-1.82,-0.47
hgm2n,0.6,0.04,0.74
f5OdA,-0.22,0.25,0.04
6aOca,1.35,0.35,1.96
Etm6g,,,
lKUq0,-0.43,-1.49,-2.03
p7Jyo,0.51,-0.43,-0.07
CyIpl,1.6,-1.2,-0.37
sMIZH,-0.17,-0.18,0.44
Wh9Lf,0.13,-0.09,0.04
hraun,2.7,-0.48,-1.34
vWgZT,-0.08,0.19,0.15
z83PZ,-0.97,-0.11,-1.28
N9Tx3,-0.13,1.58,1.89
7l8Qg,0.35,1.06,1.56
aUUaj,-0.26,0.48,-0.26
vmgYO,1.01,1.35,2.53
ltuIl,0.04,0.09,-0.14
spAHa,-1.96,0.03,2.3
1XRl4,1.6,-0.77,-0.88
BWFxX,0.93,-0.87,-0.02
XokNK,1.65,0.41,2.33
GaeIe,0.27,-0.04,0.29
BGmwg,,,
1nnFI,0.65,0.73,-1.76
nSABm,-0.04,-0.08,-0.14
DUkIy,-0.03,-0.33,-0.44
Y5OBB,3.3,0.9,-3.0
kUolz,-0.47,-0.24,0.88
VDWFL,1.8,-1.02,-0.84
ge9JU,-0.67,-2.2,3.47
IZ2Ms,3.66,0.54,3.93
AT5gM,0.4,-0.39,0.0
HSUn6,-0.25,0.12,0.16
vLPKg,0.5,-0.08,0.44
0hzpv,,,
O4g7v,,,
J1xAu,-0.85,-0.25,1.28
ZcryD,-0.39,-0.58,-1.16
XlHmh,-0.76,-0.84,-1.84
kRFnm,-0.01,-0.75,-0.8
0AzIh,0.92,0.7,1.96
6n3MD,0.57,0.44,-1.23
4OiSv,-0.11,-0.25,-0.41
IM7uU,,,
QKpjZ,0.38,2.05,2.83
kJX1u,-0.25,-0.13,0.42
m5RiW,0.66,0.68,1.51
21HA2,0.32,-0.41,-0.14
BkHvd,0.28,0.81,1.37
SEtcx,,,
RiN1F,1.38,-2.04,-0.79
DwOqv,-0.26,0.51,0.27
SVq1H,0.5,-0.78,0.36
mVlC8,1.66,-2.22,-1.25
dxGUG,0.85,0.43,1.52
9VOBx,-0.11,0.19,-0.1
mfnjC,1.2,-1.03,0.13
uc5Mm,,,
lMc8O,0.09,0.23,-0.39
Zhgaq,-0.35,0.5,-0.22
9JbyY,1.1,0.45,1.87
uE9l1,1.28,-0.89,-0.41
QX6zg,-0.41,1.73,-1.54
yvDUl,2.0,0.13,-2.39
ErErk,-0.17,0.26,-0.12
t9EYM,5.87,0.75,4.05
To4ox,0.75,0.05,-0.84
Cn7s6,-0.43,-0.48,1.09
PgS64,0.8,1.67,2.9
RMDCL,-0.94,-0.08,-1.17
O63Sa,1.11,-0.95,-0.13
AUzUr,-1.74,0.69,-1.11
1z8il,0.26,-0.99,0.78
wXtFt,0.52,1.5,-2.23
CIiDv,0.41,-0.02,0.44
0c6Oz,0.39,0.46,-0.94
VitcI,1.15,-0.03,-1.2
05cTL,0.36,0.44,-0.9
W2HVP,1.44,0.1,1.69
tfbJA,-0.2,0.69,-0.61
iGfiN,1.79,-1.94,-0.26
z81KQ,0.05,-1.07,-1.05
1Nn8p,-0.15,-0.01,0.16
ktekn,,,
jL8rA,0.0,0.42,0.53
g2XZu,0.91,-1.09,0.22
hu8sp,1.0,0.81,2.08
p3TdO,0.35,-1.03,0.86
a0piH,2.85,-1.88,-1.41
vptSY,-0.45,-0.48,1.11
YfxiZ,0.72,-0.07,0.67
z1hil,0.46,-0.39,-0.07
x19bz,0.96,-1.53,0.74
uPf6K,-0.06,-0.19,0.32
0ckTq,0.16,0.02,0.21
AH6Lk,-0.14,0.07,-0.08
MkhyO,-0.41,-0.05,-0.56
KUzNN,-0.7,0.52,-0.19
hTGhC,-0.23,-0.63,-1.04
QrWw3,2.09,0.66,2.97
mNhLK,-0.16,0.03,-0.13
pNHT9,0.13,-0.15,-0.03
e0IJN,0.27,-0.52,0.33
6rcMc,1.64,1.23,-3.46
D4J4i,,,
Pf7nH,1.22,1.03,2.59
J1tzn,-0.8,1.03,0.34
BJd3v,0.06,-1.12,1.26
GdF9I,-0.28,-2.69,3.58
Mdd5s,3.99,-3.54,-1.56
sgkIz,-0.62,0.94,0.44
3F6I8,-0.45,-0.64,1.34
aUwLS,-1.69,0.22,1.65
E9JLN,-0.07,0.24,-0.22
43dyF,0.48,-0.28,-0.19
FJCTi,1.05,-0.45,-0.66
mmbps,-0.39,0.33,0.05
CUPQe,0.29,0.44,0.93
uk9bo,2.13,-1.41,-0.7
Cq17x,0.09,0.6,-0.71
GfhWU,-1.96,0.31,-1.87
sBQkx,,,
1F38V,,,
UOvTH,-0.37,0.2,0.19
mJUPi,1.39,0.24,1.83
edutt,0.88,-0.27,0.59
KLfG0,-0.03,-1.19,-1.43
HXmY8,1.29,0.87,2.56
RLloM,0.55,0.56,-1.3
wkRAl,-0.11,-0.18,-0.37
IVV7h,0.81,1.1,2.29
BgJ6B,1.36,0.42,-1.88
elH5m,-0.26,0.16,0.11
Vqrd2,4.73,0.24,4.47
2UG7N,0.17,-0.4,0.31
OOR6I,1.3,-0.19,-1.15
qGj6X,-0.25,0.17,0.09
7h5Z8,-0.36,-0.19,0.68
YRnNo,-0.03,1.63,1.83
12GnR,,,
YwKx0,-0.11,-0.81,1.04
VxKaI,0.47,-0.42,-0.03
mIjCc,0.27,-0.48,-0.24
jFVp0,0.29,-0.16,-0.15
66xcQ,0.4,-0.11,-0.33
jvkRk,-0.22,0.09,-0.13
kEEAY,2.17,-1.52,-0.53
6aeqY,-0.04,0.05,0.01
Fdqf7,0.41,0.6,-1.26
oodtM,-0.03,0.59,0.72
NuWU5,1.1,1.59,3.03
vY445,0.92,1.04,-2.27
yxHTy,-0.2,0.05,0.17
shdmF,0.19,0.1,-0.37
5uAj8,-0.66,0.2,0.51
p1tdu,0.59,-0.02,-0.65
HdS2J,0.21,0.12,0.38
e9K5d,-0.15,-0.15,0.31
EHy32,1.2,1.06,-2.72
DP13C,,,
RDjwK,-0.6,-1.72,2.66
Czc7W,0.43,-0.22,-0.23
fYHYB,0.34,-0.64,0.4
40fZo,0.32,0.98,1.63
GC2uL,-1.59,-1.43,3.9
14tqy,0.01,0.14,0.16
s7D4Q,,,
ZfTN1,0.33,1.02,-1.55
eH4xX,0.49,1.44,-2.34
KhqTj,0.53,0.01,0.66
3FgXK,0.92,0.44,1.65
ueGQb,2.01,0.79,-3.01
7SuCP,0.76,0.22,-1.09
pb0uM,0.56,0.63,-1.42
MaKEb,,,
x5eBZ,-0.37,-0.9,1.37
lQkBz,1.73,-1.61,-0.05
w1AaK,2.77,1.91,2.96
UKFUS,-1.27,0.37,1.04
iU9dD,0.75,-0.36,0.4
fuNcw,1.1,-0.11,1.17
0OLv4,-0.13,-1.59,2.13
fUena,-0.4,1.68,1.6
xIj07,0.87,0.6,1.71
wEOLE,0.25,-0.39,-0.19
NPqo0,-1.64,2.5,-1.08
ZFfxM,0.11,0.8,1.18
5rvC3,1.08,0.35,-1.68
wtLgx,2.51,-3.59,-1.25
rsjrg,0.99,2.03,-3.08
IQvJr,0.59,0.74,1.34
C2KDy,,,
YzA21,,,
8D8Ng,-0.89,-1.03,-2.35
D3aye,0.9,0.89,2.27
cwpsS,-0.76,0.49,-0.28
4tHvi,-1.43,2.16,0.96
DNxxh,1.12,0.38,-1.86
xHJfh,-0.14,1.02,-1.03
vaApt,-0.1,-0.1,0.24
T20CX,0.65,-0.27,0.43
E1om1,,,
di9tQ,0.27,-0.18,0.09
C5lUS,0.23,0.27,-0.57
GQbaH,0.31,-1.68,1.61
nGs3M,-0.54,0.5,0.01
VfP66,0.31,-0.38,-0.09
axU44,0.52,-0.21,-0.35
uz4T8,1.07,0.78,2.32
Npp1N,1.14,0.42,-1.85
fnzu0,,,
1Y9uM,0.45,0.35,0.89
qvh1V,0.91,0.92,2.23
SQwMB,0.14,0.16,0.39
w0JLc,0.65,0.49,1.34
67tMf,0.69,-2.13,-1.7
ISOZo,0.87,1.88,3.14
MRR32,,,
ZgKOO,2.61,1.28,-4.49
tCyuw,-0.6,-0.83,-1.84
GXSeM,0.2,0.41,-0.71
HRNo3,3.83,-0.66,3.36
pWmaP,0.89,0.95,2.23
bcgBV,,,
haols,,,
hLiKb,0.66,1.19,-2.35
khdNT,-0.28,0.85,0.74
0ityR,2.07,0.76,-3.08
VIhXH,-0.39,0.65,0.34
5Avm6,-1.17,0.95,0.21
nhhYQ,0.35,0.59,1.09
Vtxgv,-2.23,0.05,2.63
kNX59,,,
i5BKI,0.12,-0.3,0.23
F38YF,-0.31,-0.27,-0.66
ivMzm,-0.79,-0.64,-1.6
c0OSJ,2.86,-0.1,-3.06
alWF5,-0.4,-0.08,-0.57
E84YS,-0.17,0.07,0.11
8RAS6,0.97,0.88,-2.24
0v5VQ,0.83,1.32,-2.56
mUHos,0.95,0.5,1.73
9X51C,0.98,-0.64,0.37
fE4Tg,5.84,-0.89,3.44
cs9qq,0.25,-0.46,-0.23
SlA3H,1.27,0.8,-2.4
p1ybw,-0.07,-0.29,0.37
B7TWb,-0.4,0.28,-0.11
LfdmR,1.41,-0.49,0.94
qrZyi,,,
zr2pF,0.62,0.06,-0.73
tgIRQ,0.35,0.18,-0.58
0genB,0.47,-0.28,0.22
6Zdl8,0.54,0.5,1.13
pozLL,2.0,0.01,-2.18
IWXzH,1.93,2.13,4.31
OYQ2c,1.68,1.48,-3.45
YD7R4,,,
BFvim,,,
mi81v,0.57,0.14,-0.88
AyggM,-1.9,0.54,-1.58
40g7t,,,
Z7VTF,-0.58,-0.35,1.05
hOzYU,0.72,-0.19,-0.54
CGkRT,0.1,-0.06,0.04
xKJRF,0.11,0.02,0.14
MxqCf,2.52,0.26,3.06
U31JQ,-0.04,0.12,-0.09
c4z58,0.44,0.51,1.07
jLdnl,-0.01,-0.09,0.1
HAXTj,2.35,-0.38,1.68
TeZMD,0.19,-0.18,0.0
xjA8Q,,,
r1oVn,2.31,-1.36,0.97
QsYen,0.28,0.58,-1.08
s0QMa,0.77,0.37,-1.37
N71PJ,0.18,-0.15,0.02
A5JZn,-0.33,0.39,0.09
n8sXT,,,
